Star,FileName,RAdeg,DEdeg,Dist,Rad,Rad-Flame,Mass-Flame
ISO-MCMS J004950.3-731116,xsl_spectrum_X0003_merged_scl.fits,12.46159774916,-73.18879583789,2681.2722,0.6124,,
ISO-MCMS J005059.4-731914,xsl_spectrum_X0009_merged_ncl.fits,12.74721018454,-73.32042523134,4711.3623,12.2965,,
ISO-MCMS J005059.4-731914,xsl_spectrum_X0009_merged_ncl.fits,12.7470745293,-73.32168181838,15738.2402,1.0279,,
CL* NGC 288 OCH 531,xsl_spectrum_X0756_merged.fits,13.17138688129,-26.55752946286,12052.1152,148.7346,,
CL* NGC 288 OCH 531,xsl_spectrum_X0767_merged.fits,13.17138688129,-26.55752946286,12052.1152,148.7346,,
ISO-MCMS J005314.8-730601,xsl_spectrum_X0030_merged_ncl.fits,13.31112675165,-73.10028785042,6307.2212,16.4146,25.3115,2.46
ISO-MCMS J005332.4-730501,xsl_spectrum_X0031_merged_scl.fits,13.38652181846,-73.08284675651,6593.6392,13.5817,14.4069,2.803
ISO-MCMS J005531.0-731018,xsl_spectrum_X0039_merged_ncl.fits,13.87881752472,-73.17194960127,11995.8223,73.5306,74.277,4.913
ISO-MCMS J005531.0-731018,xsl_spectrum_X0039_merged_ncl.fits,13.88098134496,-73.17270682829,2540.6418,0.4986,,
CL* NGC 330 ROB A3,xsl_spectrum_X0754_merged_scl.fits,14.09041556427,-72.45996110918,9587.4805,26.2633,,
CL* NGC 330 ROB A3,xsl_spectrum_X0755_merged.fits,14.09041556427,-72.45996110918,9587.4805,26.2633,,
ISO-MCMS J005622.2-730334,xsl_spectrum_X0026_merged_scl.fits,14.09505426292,-73.05943323596,7500.0332,19.1367,,
ISO-MCMS J005644.8-731436,xsl_spectrum_X0040_merged_ncl.fits,14.18664146013,-73.24299465935,20962.5,92.0661,79.4517,5.388
ISO-MCMS J005712.2-730704,xsl_spectrum_X0013_merged_ncl.fits,14.3006418664,-73.11798020705,5488.0527,26.9832,29.6,3.603
ISO-MCMS J005714.4-730121,xsl_spectrum_X0020_merged.fits,14.31031443403,-73.02264995261,14600.7871,459.5646,,
ISO-MCMS J005716.5-731052,xsl_spectrum_X0017_merged_ncl.fits,14.32341797107,-73.18126254088,2342.8799,0.5638,,
HV 12149,xsl_spectrum_X0759_merged_ncl.fits,14.70913218318,-72.30987151607,7678.8022,273.4395,,
HD 5857,xsl_spectrum_X0526_merged.fits,15.06562937621,18.19869533271,163.7486,8.9094,8.868,2.702
ISO-MCMS J010031.5-730724,xsl_spectrum_X0018_merged_ncl.fits,15.13135967418,-73.12326735654,12627.6953,27.7716,,
ISO-MCMS J010031.5-730724,xsl_spectrum_X0018_merged_ncl.fits,15.13400641125,-73.12382683073,1885.3647,0.461,,
ISO-MCMS J010031.5-730724,xsl_spectrum_X0018_merged_ncl.fits,15.12997803623,-73.12200921658,2306.8936,0.467,,
CL* NGC 371 LE 31,xsl_spectrum_X0505_merged_ncl.fits,15.44193512472,-72.13192652743,27679.0117,1.8769,,
[M2002] SMC 52334,xsl_spectrum_X0006_merged.fits,15.4757886127,-71.87185814038,6843.7441,77.9235,,
[M2002] SMC 55188,xsl_spectrum_X0004_merged.fits,15.76024726857,-72.031395267,4960.3906,73.6007,,
CL* NGC 419 LE 27,xsl_spectrum_X0512_merged_ncl.fits,17.08606242081,-72.88113363289,4670.3193,15.8096,,
BBB SMC 148,xsl_spectrum_X0506_merged.fits,17.32453172025,-72.76169163354,20663.3535,134.6718,,
HD 9356,xsl_spectrum_X0770_merged.fits,23.03410433408,1.3415337062,577.8122,5.003,5.2871,2.321
HD 9356,xsl_spectrum_X0775_merged.fits,23.03410433408,1.3415337062,577.8122,5.003,5.2871,2.321
HE 0146-1548,xsl_spectrum_X0760_merged.fits,27.14467056356,-15.55681644082,7478.333,8.2018,7.4182,2.251
HD 14625,xsl_spectrum_X0559_merged.fits,35.41837903024,-0.14866778832,186.6337,10.0002,9.9959,2.802
HD 14938,xsl_spectrum_X0529_merged.fits,36.09737800314,-3.10452430275,57.8066,1.7944,1.7917,1.192
HD 16031,xsl_spectrum_X0065_merged.fits,38.54630920652,-12.38510931572,120.7071,1.0874,1.0917,1.192
HD 16232,xsl_spectrum_X0793_merged.fits,39.24129515303,24.64800884963,44.3601,1.3565,1.3506,1.167
HD 16456,xsl_spectrum_X0782_merged.fits,39.27457566608,-42.96330893741,459.0588,4.523,4.5256,2.261
HD 17072,xsl_spectrum_X0042_merged_scl.fits,40.16786880531,-69.23305844033,145.1665,7.2551,7.2616,2.566
HD 17072,xsl_spectrum_X0089_merged.fits,40.16786880531,-69.23305844033,145.1665,7.2551,7.2616,2.566
BD+09 0352,xsl_spectrum_X0795_merged.fits,40.30820779975,9.76995823794,158.2222,1.2918,1.2924,1.115
HD 18769,xsl_spectrum_X0073_merged.fits,45.47551741922,26.46237697621,69.9658,2.0366,1.98,1.881
HD 19019,xsl_spectrum_X0071_merged.fits,45.9627666464,6.13352285232,31.2337,1.0994,1.0968,1.078
HD 19787,xsl_spectrum_X0084_merged_scl.fits,47.90808720855,19.72664828435,49.2887,10.2607,10.2857,2.703
HD 20619,xsl_spectrum_X0546_merged.fits,49.75902219538,-2.84364025533,23.9799,0.9079,0.9129,0.991
HD 23924,xsl_spectrum_X0794_merged.fits,57.4206047634,23.34136964836,137.3378,1.5785,1.5728,1.658
HD 25532,xsl_spectrum_X0547_merged.fits,61.04631917148,23.40701434029,275.1362,6.9012,7.1972,2.665
HD 27295,xsl_spectrum_X0081_merged_scl.fits,64.85887727128,21.14211470952,88.9412,2.1351,2.0282,2.798
HD 27295,xsl_spectrum_X0313_merged.fits,64.85887727128,21.14211470952,88.9412,2.1351,2.0282,2.798
HD 27771,xsl_spectrum_X0558_merged.fits,65.88522390285,14.6703984479,46.5725,0.8723,0.8704,0.815
HD 29391,xsl_spectrum_X0082_merged_scl.fits,69.40074849308,-2.47383338363,30.1045,1.5529,1.5541,1.512
HD 29391,xsl_spectrum_X0306_merged_scl.fits,69.40074849308,-2.47383338363,30.1045,1.5529,1.5541,1.512
HD 29391,xsl_spectrum_X0311_merged_scl.fits,69.40074849308,-2.47383338363,30.1045,1.5529,1.5541,1.512
HD 30328,xsl_spectrum_X0772_merged.fits,71.68724575743,2.70059618874,416.1255,11.9048,12.1381,3.102
SHV 0448341-691510,xsl_spectrum_X0783_merged.fits,72.08410003577,-69.16733979284,3766.3513,11.5457,11.5175,2.504
SHV 0448341-691510,xsl_spectrum_X0784_merged_ncl.fits,72.08410003577,-69.16733979284,3766.3513,11.5457,11.5175,2.504
SHV 0448341-691510,xsl_spectrum_X0785_merged_ncl_ncge.fits,72.08410003577,-69.16733979284,3766.3513,11.5457,11.5175,2.504
HD 30743,xsl_spectrum_X0796_merged.fits,72.42546512715,-13.77043439588,36.1856,1.5699,1.574,1.27
SHV 0452361-683928,xsl_spectrum_X0045_merged_ncl.fits,73.1129329174,-68.57617766903,9702.0049,0.9011,,
SHV 0452361-683928,xsl_spectrum_X0181_merged_ncl.fits,73.1129329174,-68.57617766903,9702.0049,0.9011,,
SHV 0452361-683928,xsl_spectrum_X0259_merged_ncl.fits,73.1129329174,-68.57617766903,9702.0049,0.9011,,
SHV 0501215-680112,xsl_spectrum_X0046_merged_ncl.fits,75.31407939543,-67.94965126019,2872.8313,9.3375,,
SHV 0501215-680112,xsl_spectrum_X0046_merged_ncl.fits,75.31592002016,-67.9492112255,2147.0583,0.4951,,
